place_id,name,address,year_built,description,features,indoor_outdoor,wifi,seating,restroom,coord,place_photo,hours,neighborhood,wheelchair_accessible,url
1,Transamerica Redwood Park,600 Montgomery Street,1972,"This urban park, located at the foot of the Transamerica Pyramid, is a wonderful surprise. Surrounded by Redwood trees and graced with luscious ferns, the park features a fountain spouting water several feet high, and figurative bronze sculptures. There are also grassy areas, wooden benches and a concrete stage. Take-out food services are nearby. Closed after office hours.","Fountain, Bronze Sculptures",Outdoor,no,Yes,Yes,"37.795494, -122.402185",https://dl.dropboxusercontent.com/u/40044962/MeetForFree/popos_images/Transamerica%E2%80%93Redwood-Park.jpg,M-F: 7am-5:30pm,Financial District,Yes,https://www.yelp.com/biz/transamerica-redwood-park-san-francisco-2
2,Transamerica Pyramid Center,505 Sansome Street,1980,"A greenhouse in the lobby of this office building faces and 6 connects to Redwood Park. Its two-story glass walls create an airy interior, featuring granite flooring, several paintings and eight tables, each with three to four chairs of beautiful modern design. Two food services are located within the building. Needed improvements: exterior signage, more seating.",Greenhouse,Indoor,Yes,Yes ,Yes,"37.795335, -122.401836",https://www.dropbox.com/s/azdopetj4k08056/505%20Sansome%20St.jpg?dl=0,M-F 10am-3pm (visitors center),Financial District,Yes,http://www.pyramidcenter.com/
3,3 Empire Park,648 Commercial Street,1988,"From the Commercial Street lunchtime mall the visitor enters this intimate urban garden, occupying the site of a demolished building. The design is symmetrical, with brick planter beds and sitting ledges along both sides and a fountain sculpture at the end of the central axis. Benches and tables with chairs complete the furnishings of this enjoyable space. Needed improvements: Restroom availability.",Fountain,Outdoor,no,Yes,No,"37.794511, -122.403843",https://dl.dropboxusercontent.com/u/40044962/MeetForFree/popos_images/Empire-Park.jpg,Not listed,Financial District/Chinatown,Yes,https://www.yelp.com/biz/empire-park-san-francisco
4,Embarcadero Center West,1 Embarcadero Ctr,1989,"The first of the three open spaces here is the conversion of Commercial Street between Sansome & Battery into an exclusive pedestrian walkway. There are small seating areas on the second level and elaborate stairs flanked by narrow waterfalls that bring the second-story walkway to street level at mid-block. The second half of the street has two rows of trees in circular 8 planters with ledges too low to sit on comfortably. Tables and chairs that had been placed between trees have been removed. Also gone are adjacent food services. The second, at the Old Federal Reserve Bank building, consists of the generous steps (snippets) to the historic building from both Battery and Sansome streets. The third, on the south side of Sacramento between Sansome & Battery, is a two-level snippet, west of the office building. Grey granite covers the ground level, steps and retaining wall with attached seating ledges. The space also features potted 9 plants and a sculpture as well as moveable tables and chairs, and adjacent food services.",Sculptures,Indoor,Yes,Yes,Yes,"37.795183, -122.397395",https://dl.dropboxusercontent.com/u/40044962/MeetForFree/popos_images/Embarcadero-Center-Walkways.jpg,M-F 10am-7pm Sat: 10am-6pm Sun: 12-6pm *hours may vary (holiday season),Financial District,Yes,https://www.yelp.com/biz/embarcadero-center-san-francisco
5,California Street Plaza,650 California Street,1965,"There are two largely barren plazas: one at the California Street front entrance, and one behind the building, with white concrete benches and large circular raised planters with edges suitable for seating. Planters with boxwood and hydrangea are arranged on stone pavement. Needed improvements: benches, landscaping, signage.",Two large plazas,Outdoor,No,No,No,"37.793005, -122.405228",https://www.dropbox.com/s/ygokxep4qsoj3zg/650%20California%20St.jpg?dl=0,Not listed,Chinatown,Yes,https://www.yelp.com/biz/650-california-building-san-francisco
6,Coworking Space ,600 California Street,1990,"This snippet has no amenities and no seating except the stairs, but it sports one of the densest assemblages of public art pieces downtown, including the Art Deco elevator doors on the loggia wall at the main entrance, Bella Feldmanâ€™s sculpture inside the bank lobby, Kent Robertâ€™s aqueduct/railroad trestle/elevated highway on the stairway and Bruce Beasleyâ€™s bronze sculpture on top of the stairs, placed on granite cobblestones. Needed improvements: landscaping, seating.","Art, Art Deco design, Sculptures",Indoors,No,No,No,"37.793150, -122.404890",https://www.dropbox.com/s/86crgbl61vda812/600%20California%20Street.jpg?dl=0,Not listed,Chinatown,Yes,https://42floors.com/us/ca/san-francisco/600-california-st
7,California Street Plaza 2,555 California Street,1969,"The red granite used on the outside of this building extends to the pavement, railing and steps of this grand, almost forbidding plaza. The massive black granite sculpture accentuates this impression. On the northeast corner, there is an urban garden with six large wooden planters with olive trees and bamboo and beautifully designed teak benches. There is no restroom access or adjacent food service. Open at all times.","Sculptures, View of the Christmas tree in Union Square, Urban Garden, ",Outdoors,No,Yes,No,"37.792240, -122.403705",https://www.dropbox.com/s/q3xf1d2cq7wqjlz/555%20California%20Street.jpg?dl=0,Open 24 hours,Financial District,Yes,https://www.yelp.com/biz/555-california-street-building-san-francisco
8,California Center Building,345 California Street,1986,"This shady snippet on California Street is located in a deeply recessed entry to the office building. Granite benches are lined up against a wall on one side. Also, some planters have been placed along the building walls. An additional row of benches on the opposite side would make the space more useful. Open at all times. Needed improvements: landscaping, seating.",,Outdoors,No,Limited,No,"37.792661, -122.400274",https://www.dropbox.com/s/mhmkhs9thevl1d4/345%20California%20Street.jpg?dl=0,Open 24 hours,Financial District,Yes,https://42floors.com/us/ca/san-francisco/345-california-st
9,Charles Schwab Building,200 California Street,1990,"This public sitting area in a pedestrian walkway was created in an extension of the sidewalk. It has a rectangular planting bed with ledges that are a bit too high for sitting comfortably, and features the Hawaiian, a figurative bronze sculpture. The planting bed replaced the benches and other pieces of furniture of the original installation. Open at all times.",Sculpture,Outdoors,No,Limited,No,"37.793830, -122.399030",https://www.dropbox.com/s/xxbu61b5fbsurcp/200%20California%20Street.jpg?dl=0,Open 24 hours,Financial District,Yes,https://42floors.com/us/ca/san-francisco/200-california-st
10,Garden Terrace,150 California Street,2000,"The sign near the building entrance indicating the existence of a 18 publicly accessible sun terrace is small, dark and very difficult to read. The lobby guard will ask visitors their purpose but will allow the public to pass. The sun terrace is oriented toward Front Street, has tables and chairs, plants and public art. It also offers sunny, shady and wind protected areas. Open 9 a.m. to 6 p.m. Needed improvements: signage at entrance and lobby.","Sculptures, Art, plants",Outdoors,Yes,Yes,Yes,"37.793840, -122.398637",https://www.dropbox.com/s/69l1xprwtjmfic1/150%20California%20Street.jpg?dl=0,M-F 9-6pm ,Financial District,Yes,https://www.yelp.com/biz/garden-terrace-at-150-california-fidi-san-francisco
